zone;production_type;power_capacity;power_capacity_turbine;power_capacity_pumping;power_capacity_injection;power_capacity_offtake;energy_capacity
poland;Batteries;0.0;0.0;0.0;0.0;0.0;0.0
poland;Biofuel;664.84;0.0;0.0;0.0;0.0;0.0
poland;Demand Side Response capacity;0.0;0.0;0.0;0.0;0.0;0.0
poland;Gas ;5817.71;0.0;0.0;0.0;0.0;0.0
poland;Hard Coal;7934.07;0.0;0.0;0.0;0.0;0.0
poland;Hydro - Pondage;0.0;0.0;0.0;0.0;0.0;0.0
poland;Hydro - Pump Storage Closed Loop;0.0;1333.35;-1486.0;0.0;0.0;6350.0
poland;Hydro - Pump Storage Open Loop;0.0;216.26;-172.0;0.0;0.0;1310.0
poland;Hydro - Reservoir;0.0;427.48;0.0;0.0;0.0;750.0
poland;Hydro - Run of River;0.0;367.31;0.0;0.0;0.0;0.0
poland;Lignite;5116.0;0.0;0.0;0.0;0.0;0.0
poland;Nuclear;1110.0;0.0;0.0;0.0;0.0;0.0
poland;Oil;0.0;0.0;0.0;0.0;0.0;0.0
poland;Others non-renewable;4678.02;0.0;0.0;0.0;0.0;0.0
poland;Others renewable;2183.04;0.0;0.0;0.0;0.0;0.0
poland;Solar PV;22929.11;0.0;0.0;0.0;0.0;0.0
poland;Solar Thermal;0.0;0.0;0.0;0.0;0.0;0.0
poland;Wind Offshore;10900.0;0.0;0.0;0.0;0.0;0.0
poland;Wind Onshore;13767.84;0.0;0.0;0.0;0.0;0.0
